IAZ IAZ Distance: 558
ELO ELO Distance: 218
LOS LOS Distance: 161
LOS LOS Distance: 218
OSC OSC Distance: 165
SCR SCR Distance: 79
TOS TOS Distance: 66
SDE SDE Distance: 85
DEL DEL Distance: 108
ALM ALM Distance: 193
LMA LMA Distance: 193
MAD MAD Distance: 193
ADE ADE Distance: 101
DEA DEA Distance: 78
EAL EAL Distance: 78
ALG ALG Distance: 78
LGV LGV Distance: 78
GVN GVN Distance: 78
VNA VNA Distance: 180
QVE QVE Distance: 70
QVE QVE Distance: 96
VEE VEE Distance: 70
EEL EEL Distance: 148
LAS LAS Distance: 31
EMA EMA Distance: 81
GOL GOL Distance: 222
OLP OLP Distance: 222
LPE LPE Distance: 222
PES PES Distance: 222
NLA NLA Distance: 31
NLA NLA Distance: 191
NLA NLA Distance: 210
REP REP Distance: 60
REP REP Distance: 65
QVE QVE Distance: 26
ENL ENL Distance: 160
ENL ENL Distance: 179
NLA NLA Distance: 160
NLA NLA Distance: 179
VER VER Distance: 186
ERT ERT Distance: 186
ELI ELI Distance: 18
ELI ELI Distance: 67
LIO LIO Distance: 18
LIO LIO Distance: 67
NOS NOS Distance: 4
NOS NOS Distance: 70
NOS NOS Distance: 183
OSE OSE Distance: 117
OSE OSE Distance: 183
SEN SEN Distance: 160
NOS NOS Distance: 66
NOS NOS Distance: 179
ELI ELI Distance: 49
LIO LIO Distance: 49
IOM IOM Distance: 49
OMB OMB Distance: 49
MBR MBR Distance: 49
BRE BRE Distance: 5
BRE BRE Distance: 10
BRE BRE Distance: 41
REP REP Distance: 5
EPO EPO Distance: 5
POB POB Distance: 5
OBR OBR Distance: 5
OBR OBR Distance: 36
BRE BRE Distance: 5
BRE BRE Distance: 36
OBR OBR Distance: 31
BRE BRE Distance: 31
VVE VVE Distance: 57
VEL VEL Distance: 3
VEL VEL Distance: 57
VEL VEL Distance: 60
ELV ELV Distance: 57
LVE LVE Distance: 57
VEL VEL Distance: 54
VEL VEL Distance: 57
ELO ELO Distance: 57
LOS LOS Distance: 57
OSO OSO Distance: 57
SOI SOI Distance: 57
OIO OIO Distance: 57
IOS IOS Distance: 57
COM COM Distance: 83
OMO OMO Distance: 83
MOC MOC Distance: 83
ONO ONO Distance: 113
NOS NOS Distance: 113
OSL OSL Distance: 28
LAM LAM Distance: 72
ADA ADA Distance: 66
VEL VEL Distance: 3
VID VID Distance: 52
OSE OSE Distance: 66
ENL ENL Distance: 19
NLA NLA Distance: 19
